,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
52,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: es3tag | Антверпен 2022, es3tag | Антверпен 2022, es3tag | Антверпен 2022, es3tag | Антверпен 202252",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | es3tag | Антверпен 2022,Наклейка | es3tag | Антверпен 2022,Наклейка | es3tag | Антверпен 2022,Наклейка | es3tag | Антверпен 2022,1.42
53,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Cloud9 | Антверпен 2022, Cloud9 | Антверпен 2022, Natus Vincere | Антверпен 2022, Марта53",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Cloud9 | Антверпен 2022,Наклейка | Cloud9 | Антверпен 2022,Наклейка | Natus Vincere | Антверпен 2022,Наклейка | Марта,1.42
54,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Natus Vincere | Стокгольм 2021, Natus Vincere | Стокгольм 202154",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Natus Vincere | Стокгольм 2021,Наклейка | Natus Vincere | Стокгольм 2021,,,1.42
55,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Змеиная атака55,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Змеиная атака,,,,1.42
56,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Змеиная атака56,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Змеиная атака,,,,1.42
57,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Gen.G | РМР 2020, Liquid | РМР 2020, Каменная чешуя, Liquid | РМР 202057",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Gen.G | РМР 2020,Наклейка | Liquid | РМР 2020,Наклейка | Каменная чешуя,Наклейка | Liquid | РМР 2020,1.42
58,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Twistzz | Антверпен 2022, Vitality | Антверпен 2022, Natus Vincere | Антверпен 2022, Spirit | РМР 202058",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Twistzz | Антверпен 2022,Наклейка | Vitality | Антверпен 2022,Наклейка | Natus Vincere | Антверпен 2022,Наклейка | Spirit | РМР 2020,1.43
59,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Кроха Цербер59,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Кроха Цербер,,,,1.43
60,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Twistzz | Антверпен 2022, Vitality | Антверпен 2022, Natus Vincere | Антверпен 2022, Spirit | РМР 202060",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Twistzz | Антверпен 2022,Наклейка | Vitality | Антверпен 2022,Наклейка | Natus Vincere | Антверпен 2022,Наклейка | Spirit | РМР 2020,1.43
61,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Кроха Цербер61,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Кроха Цербер,,,,1.43
62,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Ninjas in Pyjamas | РМР 2020, Ninjas in Pyjamas | РМР 2020, Ninjas in Pyjamas | РМР 2020, Ninjas in Pyjamas | РМР 202062",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Ninjas in Pyjamas | РМР 2020,Наклейка | Ninjas in Pyjamas | РМР 2020,Наклейка | Ninjas in Pyjamas | РМР 2020,Наклейка | Ninjas in Pyjamas | РМР 2020,1.43
