,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
116,"AWP | Боец (Немного поношенное)Наклейка: Titan | Катовице 2015, Код от бомбы, GODSENT | Атланта 2017116",AWP | Боец (Немного поношенное),Наклейка | Titan | Катовице 2015,Наклейка | Код от бомбы,Наклейка | GODSENT | Атланта 2017,,115.06
117,AWP | Боец (Немного поношенное)Наклейка: GuardiaN | Атланта 2017117,AWP | Боец (Немного поношенное),Наклейка | GuardiaN | Атланта 2017,,,,117.72
118,AWP | Боец (Немного поношенное)Наклейка: GuardiaN | Атланта 2017118,AWP | Боец (Немного поношенное),Наклейка | GuardiaN | Атланта 2017,,,,111.00
119,"AWP | Боец (Немного поношенное)Наклейка: Natus Vincere (голографическая) | Кёльн 2016, Natus Vincere (металлическая) | Кёльн 2015, Natus Vincere (металлическая) | Краков 2017, Natus Vincere (голографическая) | Бостон 2018119",AWP | Боец (Немного поношенное),Наклейка | Natus Vincere (голографическая) | Кёльн 2016,Наклейка | Natus Vincere (металлическая) | Кёльн 2015,Наклейка | Natus Vincere (металлическая) | Краков 2017,Наклейка | Natus Vincere (голографическая) | Бостон 2018,117.38
120,"AWP | Боец (Немного поношенное)Наклейка: Astralis (голографическая) | MLG Columbus 2016, freakazoid (металлическая) | Клуж-Напока 2015120",AWP | Боец (Немного поношенное),Наклейка | Astralis (голографическая) | MLG Columbus 2016,Наклейка | freakazoid (металлическая) | Клуж-Напока 2015,,,113.79
121,AWP | Боец (Немного поношенное)Наклейка: JW | Кёльн 2016121,AWP | Боец (Немного поношенное),Наклейка | JW | Кёльн 2016,,,,129.61
122,"AWP | Боец (Немного поношенное)Наклейка: JW | Клуж-Напока 2015, Fnatic | Клуж-Напока 2015, JW | Клуж-Напока 2015122",AWP | Боец (Немного поношенное),Наклейка | JW | Клуж-Напока 2015,Наклейка | Fnatic | Клуж-Напока 2015,Наклейка | JW | Клуж-Напока 2015,,126.50
123,"AWP | Боец (Немного поношенное)Наклейка: saffee (голографическая) | Антверпен 2022, saffee (голографическая) | Антверпен 2022, FURIA (золотая) | Антверпен 2022, saffee (золотая) | Антверпен 2022123",AWP | Боец (Немного поношенное),Наклейка | saffee (голографическая) | Антверпен 2022,Наклейка | saffee (голографическая) | Антверпен 2022,Наклейка | FURIA (золотая) | Антверпен 2022,Наклейка | saffee (золотая) | Антверпен 2022,128.68
124,AWP | Боец (Немного поношенное)Наклейка: Virtus.Pro (голографическая) | DreamHack 2014124,AWP | Боец (Немного поношенное),Наклейка | Virtus.Pro (голографическая) | DreamHack 2014,,,,130.00
125,AWP | Боец (Немного поношенное)Наклейка: TaZ | Бостон 2018125,AWP | Боец (Немного поношенное),Наклейка | TaZ | Бостон 2018,,,,142.74
126,"AWP | Боец (Немного поношенное)Наклейка: Всемирная элита (голографическая), Всемирная элита (голографическая), Titan (голографическая) | Катовице 2015, Всемирная элита (голографическая)126",AWP | Боец (Немного поношенное),Наклейка | Всемирная элита (голографическая),Наклейка | Всемирная элита (голографическая),Наклейка | Titan (голографическая) | Катовице 2015,Наклейка | Всемирная элита (голографическая),148.86
127,"AWP | Боец (Немного поношенное)Наклейка: Шерри, Тамара, Грязные деньги127",AWP | Боец (Немного поношенное),Наклейка | Шерри,Наклейка | Тамара,Наклейка | Грязные деньги,,158.74
128,"AWP | Боец (Немного поношенное)Наклейка: Шерри, Тамара, Грязные деньги128",AWP | Боец (Немного поношенное),Наклейка | Шерри,Наклейка | Тамара,Наклейка | Грязные деньги,,159.64
129,"AWP | Боец (Немного поношенное)Наклейка: Единорог (голографическая), Плёвое дело, Снайпер, Крутые цыпы129",AWP | Боец (Немного поношенное),Наклейка | Единорог (голографическая),Наклейка | Плёвое дело,Наклейка | Снайпер,Наклейка | Крутые цыпы,180.60
130,"AWP | Боец (Немного поношенное)Наклейка: GuardiaN | Краков 2017, bodyy (металлическая) | Краков 2017, Team SoloMid (металлическая) | Кёльн 2015, zehN (золотая) | Краков 2017130",AWP | Боец (Немного поношенное),Наклейка | GuardiaN | Краков 2017,Наклейка | bodyy (металлическая) | Краков 2017,Наклейка | Team SoloMid (металлическая) | Кёльн 2015,Наклейка | zehN (золотая) | Краков 2017,198.46
131,"AWP | Боец (Немного поношенное)Наклейка: FURIA (голографическая) | Стокгольм 2021, arT (голографическая) | Стокгольм 2021, FURIA (голографическая) | Стокгольм 2021, FURIA (золотая) | Стокгольм 2021131",AWP | Боец (Немного поношенное),Наклейка | FURIA (голографическая) | Стокгольм 2021,Наклейка | arT (голографическая) | Стокгольм 2021,Наклейка | FURIA (голографическая) | Стокгольм 2021,Наклейка | FURIA (золотая) | Стокгольм 2021,202.87
132,"AWP | Боец (Немного поношенное)Наклейка: Virtus.pro (голографическая) | Катовице 2015, Кавайный спецназ, Кавайный террорист, Кот удачи (металлическая)132",AWP | Боец (Немного поношенное),Наклейка | Virtus.pro (голографическая) | Катовице 2015,Наклейка | Кавайный спецназ,Наклейка | Кавайный террорист,Наклейка | Кот удачи (металлическая),219.56
133,"AWP | Боец (Немного поношенное)Наклейка: FaZe (голографическая) | РМР 2020, OG (голографическая) | РМР 2020, North (металлическая) | РМР 2020, Тамара133",AWP | Боец (Немного поношенное),Наклейка | FaZe (голографическая) | РМР 2020,Наклейка | OG (голографическая) | РМР 2020,Наклейка | North (металлическая) | РМР 2020,Наклейка | Тамара,281.47
134,AWP | Боец (Немного поношенное)Наклейка: Ninjas in Pyjamas | Кёльн 2015134,AWP | Боец (Немного поношенное),Наклейка | Ninjas in Pyjamas | Кёльн 2015,,,,296.55
135,"AWP | Боец (Немного поношенное)Наклейка: Natus Vincere (голографическая) | Кёльн 2016, GuardiaN | Кёльн 2015, Natus Vincere (голографическая) | Катовице 2015135",AWP | Боец (Немного поношенное),Наклейка | Natus Vincere (голографическая) | Кёльн 2016,Наклейка | GuardiaN | Кёльн 2015,Наклейка | Natus Vincere (голографическая) | Катовице 2015,,425.67
136,AWP | Боец (Немного поношенное)Наклейка: Fnatic | Атланта 2017136,AWP | Боец (Немного поношенное),Наклейка | Fnatic | Атланта 2017,,,,611.91
137,"AWP | Боец (Немного поношенное)Наклейка: Natus Vincere (металлическая) | Клуж-Напока 2015, Natus Vincere (голографическая) | DreamHack 2014, Natus Vincere (голографическая) | Катовице 2015137",AWP | Боец (Немного поношенное),Наклейка | Natus Vincere (металлическая) | Клуж-Напока 2015,Наклейка | Natus Vincere (голографическая) | DreamHack 2014,Наклейка | Natus Vincere (голографическая) | Катовице 2015,,788.93
138,"AWP | Боец (Немного поношенное)Наклейка: Natus Vincere (металлическая) | Клуж-Напока 2015, Natus Vincere (голографическая) | DreamHack 2014, Natus Vincere (голографическая) | Катовице 2015138",AWP | Боец (Немного поношенное),Наклейка | Natus Vincere (металлическая) | Клуж-Напока 2015,Наклейка | Natus Vincere (голографическая) | DreamHack 2014,Наклейка | Natus Vincere (голографическая) | Катовице 2015,,1.236.62
139,AWP | Боец (Немного поношенное)Наклейка: kennyS (металлическая) | Клуж-Напока 2015139,AWP | Боец (Немного поношенное),Наклейка | kennyS (металлическая) | Клуж-Напока 2015,,,,1.376.86
140,"AWP | Боец (Немного поношенное)Наклейка: kennyS | Кёльн 2015, Новый шериф (металлическая), Пока смерть не разлучит нас140",AWP | Боец (Немного поношенное),Наклейка | kennyS | Кёльн 2015,Наклейка | Новый шериф (металлическая),Наклейка | Пока смерть не разлучит нас,,1.590.95
